Player,FGM,FG Att,Blk,XPM,XPA,XP_Blk,1-19_A,1-19_M,20-29_A,20-29_M,30-39_A,30-39_M,40-49_A,40-49_M,50+_A,50+_M,PSs,Lng,Team
Happy Feller,16,43,0,27,28,0,0,0,0,0,0,0,0,0,0,0,3,0,PHI
Cody Parkey,102,121,0,154,162,0,0,0,29,29,41,36,41,29,10,8,6,54,PHI
Jake Elliott,74,88,0,107,114,0,0,0,19,19,26,22,28,24,15,9,3,61,PHI
Alex Henery,75,91,0,121,122,0,0,0,27,26,28,24,28,22,8,3,4,51,PHI
Sam Baker,65,104,0,131,136,0,0,0,0,0,0,0,0,0,0,0,4,0,PHI
Paul McFadden,120,163,0,160,164,0,0,0,0,0,0,0,0,0,0,0,6,54,PHI
Tony Franklin,177,264,0,341,355,0,0,0,0,0,0,0,0,0,0,0,10,59,PHI
Allan Watson,5,10,0,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,PIT
Bill Shockley,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,PIT
David Trout,12,17,0,38,46,0,0,0,0,0,0,0,0,0,0,0,1,48,PIT
Matt George,0,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,PIT
Matt McCrane,3,3,0,1,1,0,0,0,0,0,2,2,1,1,0,0,1,47,PIT
Matt Bahr,290,396,2,492,503,0,5,4,34,34,41,31,32,21,10,3,17,55,PIT
Mike Clark,102,173,0,249,251,0,0,0,0,0,0,0,0,0,0,0,7,0,PIT
Kris Brown,252,326,11,347,354,2,7,6,76,72,101,82,109,74,33,18,11,57,PIT
Chris Boswell,127,146,3,170,178,1,2,2,35,35,44,39,54,43,11,8,5,53,PIT
Gary Anderson,538,672,18,820,827,3,5,5,116,107,134,119,127,95,23,6,23,55,PIT
Jeff Reed,198,237,4,301,304,0,4,4,70,65,84,76,66,47,13,6,9,53,PIT
Don Bitterlich,1,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,27,SEA
Scott Hagler,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,24,SEA
Wilson Alvarez,3,7,0,14,15,0,0,0,0,0,0,0,0,0,0,0,1,28,SEA
Rian Lindell,306,377,2,432,433,1,4,4,114,108,109,98,109,73,41,23,14,56,SEA
John Kasay,461,563,9,587,598,5,12,12,147,144,160,143,161,120,83,42,20,56,SEA
Norm Johnson,366,477,8,638,645,0,3,3,78,75,73,64,74,55,21,10,18,54,SEA
Josh Brown,319,380,11,438,441,1,4,4,98,96,106,96,117,86,55,37,14,58,SEA
Dennis Patera,2,8,0,10,13,0,0,0,0,0,0,0,0,0,0,0,1,0,SF
Jeff Brockhaus,3,6,0,11,13,0,0,0,0,0,0,0,0,0,0,0,1,39,SF
Momcilo Gavric,3,11,0,22,24,0,0,0,0,0,0,0,0,0,0,0,1,0,SF
Ricky Schmitt,2,3,1,2,2,0,0,0,1,0,2,2,0,0,0,0,1,39,SF
Tom Wittum,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,28,SF
Doug Brien,200,246,7,275,281,0,3,3,58,55,72,62,86,66,27,14,12,56,SF
Shane Andrus,2,4,1,7,7,0,0,0,1,1,2,1,1,0,0,0,2,38,SF
Steve Mike-Mayer,67,131,0,161,175,0,0,0,0,0,0,0,0,0,0,0,6,54,SF
Wade Richey,76,106,3,148,153,2,1,1,39,35,27,20,32,17,7,3,5,56,SF
Tommy Davis,42,90,0,110,111,0,0,0,0,0,0,0,0,0,0,0,4,0,SF
Mike Cofer,132,200,7,298,305,2,0,0,24,21,29,13,29,15,8,3,7,56,SF
Jeff Wilkins,307,375,1,495,498,1,5,5,110,106,101,89,123,81,36,26,13,57,SF
Jeff Chandler,19,25,0,27,28,0,1,1,11,11,2,2,9,5,2,0,3,49,SF
Jose Cortez,23,33,4,56,56,0,2,1,10,9,8,7,12,5,1,1,2,52,SF
Allan Leavitt,5,10,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,40,TB
David Warnke,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,TB
George Yarno,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TB
Jay Taylor,4,5,0,11,11,0,0,0,0,0,3,2,1,1,1,1,1,50,TB
Kyle Brindza,6,12,0,6,8,0,0,0,2,1,3,2,3,1,4,2,1,58,TB
Matt Gay,27,35,1,43,48,2,0,0,6,6,7,5,14,11,8,5,1,58,TB
Ray Criswell,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TB
Roberto Aguayo,22,31,1,32,34,0,0,0,5,5,15,13,10,4,1,0,1,43,TB
Todd France,1,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,28,TB
Patrick Murray,40,49,2,55,57,1,0,0,8,7,17,16,12,10,12,7,3,55,TB
John Carney,469,569,19,608,617,4,7,7,161,155,182,156,158,109,35,21,22,54,TB
Steve Christie,336,431,16,468,473,2,10,10,117,109,129,102,110,73,38,19,15,59,TB
Bill Capece,43,70,0,67,72,0,0,0,0,0,0,0,0,0,0,0,3,51,TB
Martin Gramatica,143,183,11,198,199,1,0,0,44,42,59,51,54,34,26,16,8,55,TB
Donald Igwebuike,108,143,0,153,160,0,0,0,0,0,0,0,0,0,0,0,6,55,TB
Michael Husted,142,200,4,192,198,1,6,5,46,44,66,46,59,37,23,10,9,57,TB
Obed Ariri,22,31,0,44,46,0,0,0,0,0,0,0,0,0,0,0,2,49,TB
Rob Bironas,239,279,3,315,317,0,0,0,74,71,80,74,91,70,34,24,9,60,TEN
Brig Owens,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,WAS
Deacon Jones,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,WAS
John Love,2,7,0,10,11,0,0,0,0,0,0,0,0,0,0,0,1,0,WAS
John Potter,3,4,0,7,7,0,0,0,2,2,0,0,1,1,1,0,1,43,WAS
Kris Heppner,4,6,0,9,9,0,0,0,2,2,3,2,0,0,1,0,1,37,WAS
Mike Bragg,1,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,1,0,WAS
Ola Kimrin,6,10,0,6,6,0,0,0,3,3,3,2,3,1,1,0,1,41,WAS
Scott Bentley,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,50,WAS
Bruce Alford,31,52,0,41,43,0,0,0,0,0,0,0,0,0,0,0,3,0,WAS
Max Zendejas,34,49,0,53,62,0,0,0,0,0,0,0,0,0,0,0,3,50,WAS
Brett Conway,56,75,2,80,81,1,2,2,17,15,22,16,23,18,11,5,5,55,WAS
David Akers,386,477,14,563,570,6,9,9,126,124,144,126,148,100,50,27,16,63,WAS
Charlie Gogolak,52,93,0,114,117,0,0,0,0,0,0,0,0,0,0,0,6,0,WAS
Graham Gano,224,273,12,306,321,6,2,2,71,68,69,56,96,78,35,20,10,63,WAS
Kai Forbath,129,148,5,181,192,5,0,0,37,35,45,40,47,42,19,12,8,57,WAS
Scott Blanton,44,60,1,78,78,0,4,4,17,17,15,13,17,7,7,3,4,53,WAS
Curt Knight,101,175,0,172,175,0,0,0,0,0,0,0,0,0,0,0,5,0,WAS
Dustin Hopkins,124,146,2,139,146,0,1,1,39,38,41,38,44,36,21,11,5,56,WAS
Chip Lohmiller,204,284,1,301,309,0,5,5,50,46,54,39,50,28,19,8,9,56,WAS
