Player,FGM,FG Att,Blk,XPM,XPA,XP_Blk,1-19_A,1-19_M,20-29_A,20-29_M,30-39_A,30-39_M,40-49_A,40-49_M,50+_A,50+_M,PSs,Lng,Team
Milt Plum,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DET
Nate Freese,3,7,0,6,6,0,0,0,2,2,1,1,4,0,0,0,1,30,DET
Ndamukong Suh,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,DET
Remy Hamilton,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,DET
Wayne Walker,13,37,0,30,30,0,0,0,0,0,0,0,0,0,0,0,4,0,DET
Jason Hanson,495,601,16,665,673,5,10,10,134,131,178,166,186,136,93,52,21,56,DET
Eddie Murray,351,465,1,538,545,1,7,7,37,36,60,46,52,31,12,6,19,54,DET
Benny Ricardo,91,138,0,169,178,0,0,0,0,0,0,0,0,0,0,0,7,48,DET
Garo Yepremian,210,313,0,444,464,0,0,0,0,0,0,0,0,0,0,0,14,53,DET
Chuck Mercein,2,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,GB
Curtis Burrow,0,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,GB
Dale Dawson,3,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,32,GB
Dave Conway,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,GB
Dave Pureifory,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,GB
Dean Dorsey,1,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,20,GB
Eddie Garcia,3,9,0,14,15,0,0,0,0,0,0,0,0,0,0,0,1,51,GB
Jerry Kramer,4,9,0,9,10,0,0,0,0,0,0,0,0,0,0,0,1,0,GB
John Anderson,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,39,GB
Tim Webster,6,11,0,8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,GB
Errol Mann,173,266,0,306,323,0,0,0,0,0,0,0,0,0,0,0,11,47,GB
Don Chandler,31,57,0,80,82,0,0,0,0,0,0,0,0,0,0,0,2,0,GB
Tom Birney,13,21,0,21,28,0,0,0,0,0,0,0,0,0,0,0,2,50,GB
Mason Crosby,329,406,11,588,600,3,9,9,94,92,124,109,113,84,66,35,13,58,GB
Ryan Longwell,361,434,15,604,613,4,9,9,108,103,146,128,132,97,39,24,15,55,GB
Chester Marcol,119,193,0,149,160,0,0,0,0,0,0,0,0,0,0,0,9,48,GB
Chris Jacke,202,265,2,338,343,1,2,2,60,57,62,47,59,36,24,15,11,54,GB
Al Del Greco,342,439,1,532,540,0,11,11,79,74,89,80,92,66,24,15,17,56,GB
Joe Danelo,133,228,0,240,251,0,0,0,0,0,0,0,0,0,0,0,10,55,GB
Craig Hentrich,8,15,2,6,6,0,0,0,0,0,5,4,5,3,5,1,5,50,GB
Braden Beck,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,HOU
Dan Pastorini,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,HOU
Ian Howfield,13,18,0,25,29,0,1,1,7,7,6,4,2,1,2,0,1,46,HOU
John Diettrich,6,6,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,45,HOU
Ted Thompson,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,HOU
Wayne Walker (1),8,16,0,26,26,0,0,0,0,0,0,0,0,0,0,0,1,0,HOU
John Wittenborn,18,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,2,0,HOU
Ka'imi Fairbairn,77,92,0,111,121,1,1,1,18,17,29,27,28,22,16,10,3,55,HOU
Skip Butler,70,122,0,122,127,0,0,0,0,0,0,0,0,0,0,0,6,54,HOU
Tony Zendejas,184,249,6,316,327,2,4,4,24,22,32,26,16,7,10,8,11,54,HOU
Florian Kempf,29,38,0,64,67,0,0,0,0,0,0,0,0,0,0,0,4,51,HOU
Randy Bullock,139,167,6,185,191,0,1,1,42,41,46,42,58,46,20,9,7,57,HOU
Roy Gerela,184,306,0,351,365,0,0,0,0,0,0,0,0,0,0,0,11,49,HOU
Joe Cooper,13,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,2,44,HOU
George Blanda,172,279,0,434,443,0,0,0,0,0,0,0,0,0,0,0,10,37,HOU
Chase McLaughlin,5,6,0,11,11,0,1,1,1,1,1,1,1,0,2,2,1,50,IND
Chris Gardocki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,IND
Hunter Smith,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,IND
Steve Jordan,3,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,1,36,IND
Dave Rayner,50,68,2,63,64,0,0,0,22,20,16,12,20,13,10,5,5,56,IND
Mike Vanderjagt,230,266,9,377,379,1,6,6,79,76,74,67,85,66,22,15,9,54,IND
Dean Biasucci,185,262,4,268,275,1,3,3,31,31,34,22,41,20,13,6,11,55,IND
